"id","participant_id","timesent_utc","name","gender","handedness","time_gameplayed_utc","details","Late Response","Correct Selection","Same Face","Response Time","Time Interval"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:27:44-0700","Ignore Distraction",,"0","0","1","652.5630354881287","6000"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:27:44-0700","Ignore Distraction",,"1","0","0","N/A","6400"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:27:44-0700","Ignore Distraction",,"1","0","0","N/A","6800"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:27:44-0700","Ignore Distraction",,"1","0","1","N/A","7200"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:27:44-0700","No Distraction",,"0","1","0","922.9190349578857","6000"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:27:44-0700","No Distraction",,"1","0","0","N/A","5900"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:27:44-0700","No Distraction",,"1","0","1","N/A","6300"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:27:44-0700","No Distraction",,"1","0","1","N/A","6700"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:27:44-0700","Age Interruption",,"1","0","0","N/A","6000"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:27:44-0700","Age Interruption",,"1","0","1","N/A","6400"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:27:44-0700","Age Interruption",,"1","0","1","N/A","6800"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:27:44-0700","Age Interruption",,"1","0","0","N/A","7200"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:27:44-0700","Ignore Distraction",,"0","0","1","652.5630354881287","6000"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:27:44-0700","Ignore Distraction",,"1","0","0","N/A","6400"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:27:44-0700","Ignore Distraction",,"1","0","0","N/A","6800"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:27:44-0700","Ignore Distraction",,"1","0","1","N/A","7200"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:27:44-0700","No Distraction",,"0","1","0","922.9190349578857","6000"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:27:44-0700","No Distraction",,"1","0","0","N/A","5900"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:27:44-0700","No Distraction",,"1","0","1","N/A","6300"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:27:44-0700","No Distraction",,"1","0","1","N/A","6700"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:27:44-0700","Age Interruption",,"1","0","0","N/A","6000"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:27:44-0700","Age Interruption",,"1","0","1","N/A","6400"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:27:44-0700","Age Interruption",,"1","0","1","N/A","6800"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:27:44-0700","Age Interruption",,"1","0","0","N/A","7200"
"538d5d8ab6145ed43c3b63cb","BLUE-00044","2014-06-02T22:30:49-0700","Joaq email","MALE","RIGHT","2014-06-02T22:29:25-0700","Ignore Distraction",,"1","0","0","N/A","6000"
"538d5d8ab6145ed43c3b63cb","BLUE-00044","2014-06-02T22:30:49-0700","Joaq email","MALE","RIGHT","2014-06-02T22:29:25-0700","No Distraction",,"1","0","0","N/A","6000"
"538d5d8ab6145ed43c3b63cb","BLUE-00044","2014-06-02T22:30:49-0700","Joaq email","MALE","RIGHT","2014-06-02T22:29:25-0700","Age Interruption",,"1","0","0","N/A","6000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","Ignore Distraction",,"0","1","1","674.8529672622681","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","Ignore Distraction",,"0","1","0","757.9039931297302","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","Ignore Distraction",,"0","1","0","687.4130368232727","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","Ignore Distraction",,"0","1","0","678.8139939308167","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","Ignore Distraction",,"0","1","1","648.7150192260742","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","Ignore Distraction",,"0","1","0","660.8249545097351","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","Ignore Distraction",,"1","0","1","N/A","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","Ignore Distraction",,"0","1","1","1019.9739933013916","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","Ignore Distraction",,"0","1","0","895.0110077857971","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","Ignore Distraction",,"1","0","0","N/A","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","Ignore Distraction",,"1","0","1","N/A","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","Ignore Distraction",,"0","0","1","776.5840291976929","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","Ignore Distraction",,"0","1","0","703.4059762954712","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","Ignore Distraction",,"0","1","1","885.562002658844","5000"
"53e04adbb6145e674c0923a1","GREEN-00022","2014-08-04T20:09:15-0700",,"FEMALE","RIGHT","2014-08-04T20:02:28-0700","Ignore Distraction",,"1","0","1","N/A","5000"
