"id","participant_id","timesent_utc","name","gender","handedness","time_gameplayed_utc","details","Is UFO Green","Late Response","Response Window","Correct Button","Response Time","Cue Angle"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:32:48-0700","Cue Angle",,"0","1","600","1","N/A","LeftFull"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:32:48-0700","Cue Angle",,"1","1","740","1","N/A","Full"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:32:48-0700","Cue Angle",,"1","1","840","0","N/A","RightFull"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:32:48-0700","Cue Angle",,"1","1","1340","1","N/A","LeftSmall"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:32:48-0700","Cue Angle",,"0","1","1740","1","N/A","RightFull"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:32:48-0700","Cue Angle",,"0","1","600","1","N/A","LeftFull"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:32:48-0700","Cue Angle",,"1","1","740","1","N/A","Full"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:32:48-0700","Cue Angle",,"1","1","840","0","N/A","RightFull"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:32:48-0700","Cue Angle",,"1","1","1340","1","N/A","LeftSmall"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:32:48-0700","Cue Angle",,"0","1","1740","1","N/A","RightFull"
"53aa0d20b6145e07381cb2f3","GREEN-09998","2014-06-24T16:43:26-0700",,"MALE","LEFT","2014-06-24T16:37:54-0700","Cue Angle",,"1","1","600","1","N/A","Full"
"53aa0d20b6145e07381cb2f3","GREEN-09998","2014-06-24T16:43:26-0700",,"MALE","LEFT","2014-06-24T16:37:54-0700","Cue Angle",,"1","1","640","1","N/A","RightSmall"
"53aa0d20b6145e07381cb2f3","GREEN-09998","2014-06-24T16:43:26-0700",,"MALE","LEFT","2014-06-24T16:37:54-0700","Cue Angle",,"0","1","680","1","N/A","RightSmall"
"53aa0d20b6145e07381cb2f3","GREEN-09998","2014-06-24T16:43:26-0700",,"MALE","LEFT","2014-06-24T16:37:54-0700","Cue Angle",,"1","0","680","1","569.6080327033997","LeftBig"
"53aa0d20b6145e07381cb2f3","GREEN-09998","2014-06-24T16:43:26-0700",,"MALE","LEFT","2014-06-24T16:37:54-0700","Cue Angle",,"1","1","670","1","N/A","RightSmall"
"53aa0d20b6145e07381cb2f3","GREEN-09998","2014-06-24T16:43:26-0700",,"MALE","LEFT","2014-06-24T16:37:54-0700","Cue Angle",,"0","1","710","1","N/A","LeftFull"
"53aa0d20b6145e07381cb2f3","GREEN-09998","2014-06-24T16:43:26-0700",,"MALE","LEFT","2014-06-24T16:37:54-0700","Cue Angle",,"0","1","710","1","N/A","LeftSmall"
"53aa0d20b6145e07381cb2f3","GREEN-09998","2014-06-24T16:43:26-0700",,"MALE","LEFT","2014-06-24T16:37:54-0700","Cue Angle",,"0","1","710","1","N/A","Full"
"53aa0d20b6145e07381cb2f3","GREEN-09998","2014-06-24T16:43:26-0700",,"MALE","LEFT","2014-06-24T16:37:54-0700","Cue Angle",,"0","1","710","1","N/A","LeftFull"
"53aa0d20b6145e07381cb2f3","GREEN-09998","2014-06-24T16:43:26-0700",,"MALE","LEFT","2014-06-24T16:37:54-0700","Cue Angle",,"1","1","710","1","N/A","RightBig"
"53aa0d20b6145e07381cb2f3","GREEN-09998","2014-06-24T16:43:26-0700",,"MALE","LEFT","2014-06-24T16:37:54-0700","Cue Angle",,"1","1","750","1","N/A","Full"
"53aa0d20b6145e07381cb2f3","GREEN-09998","2014-06-24T16:43:26-0700",,"MALE","LEFT","2014-06-24T16:37:54-0700","Cue Angle",,"0","1","790","1","N/A","RightSmall"
"53aa0d20b6145e07381cb2f3","GREEN-09998","2014-06-24T16:43:26-0700",,"MALE","LEFT","2014-06-24T16:37:54-0700","Cue Angle",,"0","1","790","1","N/A","LeftBig"
"53aa0d20b6145e07381cb2f3","GREEN-09998","2014-06-24T16:43:26-0700",,"MALE","LEFT","2014-06-24T16:37:54-0700","Cue Angle",,"1","0","790","1","592.395007610321","LeftBig"
"53aa0d20b6145e07381cb2f3","GREEN-09998","2014-06-24T16:43:26-0700",,"MALE","LEFT","2014-06-24T16:37:54-0700","Cue Angle",,"0","1","780","1","N/A","LeftSmall"
"53aa0d20b6145e07381cb2f3","GREEN-09998","2014-06-24T16:43:26-0700",,"MALE","LEFT","2014-06-24T16:37:54-0700","Cue Angle",,"1","0","780","1","765.1200294494629","LeftFull"
"53aa0d20b6145e07381cb2f3","GREEN-09998","2014-06-24T16:43:26-0700",,"MALE","LEFT","2014-06-24T16:37:54-0700","Cue Angle",,"0","1","770","1","N/A","Full"
"53aa0d20b6145e07381cb2f3","GREEN-09998","2014-06-24T16:43:26-0700",,"MALE","LEFT","2014-06-24T16:37:54-0700","Cue Angle",,"1","0","810","1","669.6810126304626","RightBig"
"53aa0d20b6145e07381cb2f3","GREEN-09998","2014-06-24T16:43:26-0700",,"MALE","LEFT","2014-06-24T16:37:54-0700","Cue Angle",,"1","0","790","1","594.0279960632324","LeftFull"
"53aa0d20b6145e07381cb2f3","GREEN-09998","2014-06-24T16:43:26-0700",,"MALE","LEFT","2014-06-24T16:37:54-0700","Cue Angle",,"0","1","750","1","N/A","LeftBig"
"53aa0d20b6145e07381cb2f3","GREEN-09998","2014-06-24T16:43:26-0700",,"MALE","LEFT","2014-06-24T16:37:54-0700","Cue Angle",,"0","1","750","1","N/A","Full"
"53aa0d20b6145e07381cb2f3","GREEN-09998","2014-06-24T16:43:26-0700",,"MALE","LEFT","2014-06-24T16:37:54-0700","Cue Angle",,"0","1","750","1","N/A","LeftBig"
"53aa0d20b6145e07381cb2f3","GREEN-09998","2014-06-24T16:43:26-0700",,"MALE","LEFT","2014-06-24T16:37:54-0700","Cue Angle",,"1","0","750","1","689.6030306816101","LeftSmall"
"53aa0d20b6145e07381cb2f3","GREEN-09998","2014-06-24T16:43:26-0700",,"MALE","LEFT","2014-06-24T16:37:54-0700","Cue Angle",,"1","1","670","1","N/A","RightFull"
"53aa0d20b6145e07381cb2f3","GREEN-09998","2014-06-24T16:43:26-0700",,"MALE","LEFT","2014-06-24T16:37:54-0700","Cue Angle",,"1","1","710","1","N/A","RightFull"
"53dffdf6b6145eea550923a3","GREEN-00022","2014-08-04T14:41:11-0700",,"FEMALE","RIGHT","2014-08-04T14:37:30-0700","Late Response",,"0","0","800","1","800","RightFull"
"53dffdf6b6145eea550923a3","GREEN-00022","2014-08-04T14:41:11-0700",,"FEMALE","RIGHT","2014-08-04T14:37:30-0700","Late Response",,"1","0","800","1","747.1280097961426","LeftBig"
"53dffdf6b6145eea550923a3","GREEN-00022","2014-08-04T14:41:11-0700",,"FEMALE","RIGHT","2014-08-04T14:37:30-0700","Late Response",,"0","1","790","0","N/A","LeftSmall"
"53dffdf6b6145eea550923a3","GREEN-00022","2014-08-04T14:41:11-0700",,"FEMALE","RIGHT","2014-08-04T14:37:30-0700","Late Response",,"0","1","790","0","N/A","LeftSmall"
"53dffdf6b6145eea550923a3","GREEN-00022","2014-08-04T14:41:11-0700",,"FEMALE","RIGHT","2014-08-04T14:37:30-0700","Late Response",,"1","0","790","1","746.9759583473206","RightSmall"
"53dffdf6b6145eea550923a3","GREEN-00022","2014-08-04T14:41:11-0700",,"FEMALE","RIGHT","2014-08-04T14:37:30-0700","Late Response",,"1","1","780","0","N/A","LeftFull"
"53dffdf6b6145eea550923a3","GREEN-00022","2014-08-04T14:41:11-0700",,"FEMALE","RIGHT","2014-08-04T14:37:30-0700","Late Response",,"1","0","820","1","753.807008266449","RightBig"
"53dffdf6b6145eea550923a3","GREEN-00022","2014-08-04T14:41:11-0700",,"FEMALE","RIGHT","2014-08-04T14:37:30-0700","Late Response",,"1","0","810","1","791.778028011322","LeftBig"
"53dffdf6b6145eea550923a3","GREEN-00022","2014-08-04T14:41:11-0700",,"FEMALE","RIGHT","2014-08-04T14:37:30-0700","Late Response",,"0","1","800","0","N/A","LeftFull"
"53dffdf6b6145eea550923a3","GREEN-00022","2014-08-04T14:41:11-0700",,"FEMALE","RIGHT","2014-08-04T14:37:30-0700","Late Response",,"0","1","800","0","N/A","RightBig"
